epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,epsilon,delta,alpha,model_path
35,410.689212,0.25714,0.2716040244211193,828398,22130.966052840573,1000000,3.88,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-410.6892120_acc-0.25714_epoch-35
36,407.8495174,0.26286,0.1506091618639615,900870,23857.492616741198,1000000,3.90,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-407.8495174_acc-0.26286_epoch-36
37,405.1200462,0.28,0.1852412364774451,879502,22676.068689683023,1000000,3.92,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-405.1200462_acc-0.28000_epoch-37
38,403.7220424,0.27429,0.1643879372336769,892307,21497.161797047484,1000000,3.94,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-403.7220424_acc-0.27429_epoch-38
39,401.7589602,0.26857,0.3042680330842842,809853,18009.981219622325,1000000,3.96,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-401.7589602_acc-0.26857_epoch-39
40,400.2396121,0.26286,0.3746509478481101,771292,18451.592298451906,1000000,3.97,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-400.2396121_acc-0.26286_epoch-40
41,399.4074585,0.26857,0.5121473637482943,701178,19743.483110633708,1000000,3.99,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-399.4074585_acc-0.26857_epoch-41
42,397.4137613,0.27429,0.3993058748828098,758223,18692.29698162309,1000000,4.01,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-397.4137613_acc-0.27429_epoch-42
43,395.4410979,0.26857,0.4819000011592891,716034,18962.929101529902,1000000,4.03,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-395.4410979_acc-0.26857_epoch-43
44,394.6557537,0.26286,0.5193770925764767,697673,18765.44633712923,1000000,4.05,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-394.6557537_acc-0.26286_epoch-44
45,393.3106152,0.25714,0.5688606046612286,674149,17815.517168664137,1000000,4.06,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-393.3106152_acc-0.25714_epoch-45
46,392.0900288,0.25714,0.7344046802490496,601066,16008.796406097232,1000000,4.08,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-392.0900288_acc-0.25714_epoch-46
47,389.8930029,0.26286,0.5093826361833216,702523,18502.30422007506,1000000,4.10,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-389.8930029_acc-0.26286_epoch-47
48,388.7412414,0.26286,0.459335862931816,727321,18634.005447561307,1000000,4.12,8e-05,3.8,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-388.7412414_acc-0.26286_epoch-48
49,386.9065034,0.26857,0.4171280356118885,748914,20533.046786305596,1000000,4.13,8e-05,3.8,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-386.9065034_acc-0.26857_epoch-49
50,386.8141878,0.25714,0.4420145641171906,736106,21215.68276136129,1000000,4.15,8e-05,3.8,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-386.8141878_acc-0.25714_epoch-50
